200      375l      964w    10918c http://10.10.10.171/index.html
403        9l       28w      277c http://10.10.10.171/sierra/.htaccess.bak
403        9l       28w      277c http://10.10.10.171/sierra/.htaccess.conf
403        9l       28w      277c http://10.10.10.171/sierra/.htaccess.sh
403        9l       28w      277c http://10.10.10.171/sierra/.htaccess.bat
403        9l       28w      277c http://10.10.10.171/sierra/.htaccess.cgi
200      271l      678w     8885c http://10.10.10.171/music/playlist.html
403        9l       28w      277c http://10.10.10.171/music/.htpasswd
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.htm
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.html
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.txt
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.php
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.asp
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.aspx
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.bak
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.conf
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.sh
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.bat
403        9l       28w      277c http://10.10.10.171/music/.htpasswd.cgi
301        9l       28w      316c http://10.10.10.171/sierra/js
200      658l     1638w    23863c http://10.10.10.171/music/category.html
200      288l      843w    15853c http://10.10.10.171/sierra/contact.html
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.htm
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.html
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.txt
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.php
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.asp
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.aspx
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.bak
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.conf
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.sh
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.bat
403        9l       28w      277c http://10.10.10.171/artwork/.htpasswd.cgi
200      307l      738w    11749c http://10.10.10.171/artwork/services.html
200      292l      732w    11156c http://10.10.10.171/artwork/about.html
301        9l       28w      317c http://10.10.10.171/sierra/img
200      349l     1170w    20785c http://10.10.10.171/sierra/about-us.html
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.htm
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.html
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.txt
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.php
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.asp
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.aspx
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.bak
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.conf
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.sh
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.bat
403        9l       28w      277c http://10.10.10.171/sierra/.htpasswd.cgi
200      426l     1184w    24524c http://10.10.10.171/sierra/elements.html
